0.16,0.16,0,4,3.60772,0,0,-9.807,0
0.32,0.304309,0,4,3.21544,0,0,-9.807,0
0.48,0.432926,0,4,2.82316,0,0,-9.807,0
0.64,0.545853,0,4,2.43088,0,0,-9.807,0
0.8,0.643088,0,4,2.0386,0,0,-9.807,0
0.96,0.724632,0,4,1.64632,0,0,-9.807,0
1.12,0.790485,0,4,1.25404,0,0,-9.807,0
1.28,0.840646,0,4,0.86176,0,0,-9.807,0
1.44,0.875117,0,4,0.46948,0,0,-9.807,0
1.6,0.893896,0,4,0.0772,0,0,-9.807,0
1.76,0.896984,0,4,-0.31508,0,0,-9.807,0
1.92,0.884381,0,4,-0.70736,0,0,-9.807,0
2.08,0.856086,0,4,-1.09964,0,0,-9.807,0
2.24,0.812101,0,4,-1.49192,0,0,-9.807,0
2.4,0.752424,0,4,-1.8842,0,0,-9.807,0
2.56,0.677056,0,4,-2.27648,0,0,-9.807,0
2.72,0.585997,0,4,-2.66876,0,0,-9.807,0
2.88,0.479246,0,4,-3.06104,0,0,-9.807,0
3.04,0.356805,0,4,-3.45332,0,0,-9.807,0
3.2,0.218672,0,4,-3.8456,0,0,-9.807,0
3.36,0.064848,0,4,-4.23788,0,0,-9.807,0
3.52,-0.104667,0,4,-4.63016,0,0,-9.807,0
3.68,-0.289874,0,4,-5.02244,0,0,-9.807,0
3.84,-0.490771,0,4,-5.41472,0,0,-9.807,0
4,-0.70736,0,4,-5.807,0,0,-9.807,0
